price,property_type,bedrooms,bathrooms,year_built,house_size,garage_space,hoa_fees,description
865000,Single-Family Home,4,3,2018,2350,2,75,"Step into this stunning 4-bedroom, 3-bathroom single-family home, offering 2,350 square feet of thoughtfully designed living space. Built in 2018, this home balances modern style, function, and comfort in one inviting package. Inside, you'll find a bright open floor plan ideal for entertaining and daily living. The gourmet kitchen seamlessly connects to the dining and living areas, while the two-car garage provides ample space for vehicles and storage."
550000,Condo,2,2,2005,1200,1,300,"Luxurious 2-bedroom, 2-bathroom condo with 1,200 square feet of living space. This modern unit features high-end finishes, a spacious layout, and a private balcony with stunning views. The building amenities include a fitness center, pool, and 24-hour concierge service."
750000,Townhouse,3,2.5,1990,1800,2,150,"Charming 3-bedroom, 2.5-bathroom townhouse with 1,800 square feet of living space. This well-maintained home features a cozy fireplace, updated kitchen, and a private backyard. The attached two-car garage provides convenient parking and storage."
450000,Duplex,5,3,1985,2400,0,0,"Spacious 5-bedroom, 3-bathroom duplex with 2,400 square feet of living space. This income-generating property offers two separate units, each with its own entrance and private yard. Perfect for investors or multi-generational living."
650000,Ranch,3,2,1975,2000,2,0,"Classic 3-bedroom, 2-bathroom ranch-style home with 2,000 square feet of living space. This well-maintained property features a spacious backyard, updated kitchen, and a two-car garage. Enjoy single-level living in a peaceful neighborhood."
700000,Colonial,4,3.5,2000,2800,2,100,"Elegant 4-bedroom, 3.5-bathroom colonial home with 2,800 square feet of living space. This meticulously maintained property features a grand two-story foyer, gourmet kitchen, and a master suite with a spa-like bathroom. The landscaped backyard offers a tranquil retreat."
800000,Cottage,2,1.5,1950,1500,1,50,"Quaint 2-bedroom, 1.5-bathroom cottage with 1,500 square feet of living space. This charming home exudes character with original hardwood floors, a cozy fireplace, and a sunroom. The detached garage provides parking and storage space."
900000,Mansion,6,5,2010,5000,3,200,"Magnificent 6-bedroom, 5-bathroom mansion with 5,000 square feet of luxurious living space. This custom-built home boasts high-end finishes, a gourmet kitchen, home theater, and a private backyard with a pool and spa. The three-car garage offers ample storage for vehicles and more."
600000,Bungalow,3,2,1965,1800,1,25,"Cozy 3-bedroom, 2-bathroom bungalow with 1,800 square feet of living space. This charming home features a covered front porch, updated kitchen, and a fenced backyard. The detached garage provides parking and storage space."
950000,Penthouse,3,3.5,2015,3000,2,500,"Luxurious 3-bedroom, 3.5-bathroom penthouse with 3,000 square feet of living space. This upscale residence offers panoramic city views, high ceilings, gourmet kitchen, and a private rooftop terrace. The building amenities include a fitness center, pool, and concierge service."
400000,Cabin,2,1,1970,1200,0,0,"Secluded 2-bedroom, 1-bathroom cabin with 1,200 square feet of living space. This rustic retreat features a stone fireplace, wood beam ceilings, and a private deck overlooking the forest. Ideal for nature lovers seeking a tranquil escape."
850000,Villa,4,4.5,2008,4000,2,150,"Exquisite 4-bedroom, 4.5-bathroom villa with 4,000 square feet of luxury living space. This Mediterranean-style home features a grand foyer, marble floors, chef's kitchen, and a private courtyard with a fountain. The two-car garage offers convenience and security."
500000,Farmhouse,3,2,1980,2200,0,0,"Charming 3-bedroom, 2-bathroom farmhouse with 2,200 square feet of living space. This country retreat features a wrap-around porch, exposed beams, and a spacious kitchen. The expansive lot offers endless possibilities for gardening and outdoor activities."
750000,Loft,1,1.5,2003,1500,0,200,"Modern 1-bedroom, 1.5-bathroom loft with 1,500 square feet of open-concept living space. This industrial-chic residence features exposed brick walls, high ceilings, and oversized windows. The building amenities include a rooftop deck, gym, and secure parking."
700000,Tudor,4,3,1995,2500,2,100,"Stately 4-bedroom, 3-bathroom Tudor-style home with 2,500 square feet of living space. This timeless property features a formal dining room, wood-paneled library, and a master suite with a private balcony. The landscaped backyard offers a peaceful retreat."
